Organization Name,Case Number,Patient ID,Common Species Name,Date Admitted,Circumstances of Rescue,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation,Disposition
Wildlife Center of Virginia,21-0019418,21-0999,American Robin,5/6/2021,Collision / Moving object / Car/truck/motorcycle,VA,Charlottesville (City),"100 Harmon St, Charlottesville, VA 22903, USA",,38.03923798,-78.9138031,443.4772339,Died
Wildlife Center of Virginia,17-0083237,17-2173,Barn Swallow,8/22/2017,Collision / Moving object / Car/truck/motorcycle,VA,Harrisonburg (City),"100 Mt Clinton Pike, Harrisonburg, VA 22802, USA",,38.466652,-78.8537753,424.9776001,Died
Wildlife Center of Virginia,21-0062969,21-3341,Eastern Box Turtle,9/22/2021,Collision / Moving object / Car/truck/motorcycle,VA,Harrisonburg (City),"100 Mt Clinton Pike, Harrisonburg, VA 22802, USA",Mt. Clinton Pike across from Rockingham Co. Administration building,38.46665192,-78.85377502,422.0014954,Euthanized
Wildlife Center of Virginia,21-0070174,21-3555,Mallard,10/28/2021,Collision / Moving object / Car/truck/motorcycle,VA,Harrisonburg (City),"100 Pleasant Hill Rd, Harrisonburg, VA 22801, USA",,38.4292984,-78.89507294,407.1988831,Euthanized
Wildlife Center of Virginia,18-0149188,18-2902,Yellow-bellied Sapsucker,10/10/2018,Collision / Moving object / Car/truck/motorcycle,VA,Charlottesville (City),"1000 Birdwood Rd, Charlottesville, VA 22903, USA",,38.0432401,-78.4774588,138.2869263,Died
Wildlife Center of Virginia,23-0076254,23-3320,Eastern Box Turtle,9/8/2023,Collision / Moving object / Car/truck/motorcycle,VA,Albemarle County,"1000 Samuel Miller Loop, Charlottesville, VA 22903, USA",,38.0066452,-78.70162201,215.1355438,Euthanized
Wildlife Center of Virginia,23-0064700,23-2528,eastern fox squirrel,7/17/2023,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"1002 Battlefield Rd, Fort Defiance, VA 24437, USA",,38.21263504,-78.90126038,371.1319275,Died
Wildlife Center of Virginia,21-0046952,21-2536,Eastern Screech-Owl,7/21/2021,Collision / Moving object / Car/truck/motorcycle,VA,Augusta County,"1002 Round Hill School Rd, Crimora, VA 24431, USA",,38.17454147,-78.8660202,394.2280579,Euthanized
Wildlife Center of Virginia,20-0085115,20-3682,eastern gray squirrel,12/9/2020,Collision / Moving object / Car/truck/motorcycle,VA,Harrisonburg (City),"1005 College Ave Apt. A, Harrisonburg, VA 22802, USA",,38.4662808,-78.8808353,440.6378784,Euthanized
Wildlife Center of Virginia,21-0003292,21-0067,Red-shouldered Hawk,1/23/2021,Collision / Moving object / Car/truck/motorcycle,VA,Montgomery County,"1006 Rock Rd E, Christiansburg, VA 24073, USA",,37.12319946,-80.52480316,595.4172363,Euthanized
